 ACQUISITION_TIME_SCET  TEC_CURRENT
      672702933.777054     0.053490
      672702934.777008     0.046357
      672702935.777054     0.049924
      672702936.777054     0.049210
      672702937.776901     0.047071
      672702938.776993     0.046357
      672702939.776993     0.049924
      672702940.776993     0.049210
      672702941.777054     0.047071
      672702942.776947     0.052064
      672702943.777008     0.049924
      672702944.776947     0.049210
      672702945.776962     0.047071
      672702946.776947     0.046357
      672702947.777008     0.049924
      672702948.776947     0.049210
      672702949.776978     0.047071
      672702950.776932     0.052064
      672702951.776978     0.049924
      672702952.777008     0.049210
      672702953.776947     0.047071
      672702954.777008     0.052777
      672702955.776947     0.056343
      672702956.776917     0.055630
      672702957.776917     0.053490
      672702958.776962     0.046357
      672702959.776901     0.049924
      672702960.776932     0.049210
      672702961.776886     0.047071
      672702962.776932     0.046357
      672702963.776901     0.056343
      672702964.776855     0.055630
      672702965.776855     0.047071
      672702966.776947     0.052064
      672702967.776871     0.049924
      672702968.776871     0.049210
      672702969.776886     0.047071
      672702970.776855     0.052777
      672702971.776855     0.056343
      672702972.776917     0.055630
      672702973.776810     0.053490
      672702974.776917     0.052064
      672702975.776825     0.056343
      672702976.776886     0.049210
      672702977.776840     0.053490
      672702978.776901     0.052064
      672702979.776825     0.049924
      672702980.776886     0.055630
      672702981.776825     0.047071
      672702982.776886     0.046357
      672702983.776825     0.056343
      672702984.776871     0.049210
      672702985.776794     0.047071
      672702986.776871     0.045644
      672702987.776794     0.049924
      672702988.776886     0.049210
      672702989.776688     0.053490
      672702990.776794     0.052064
      672702991.776779     0.049924
      672702992.776794     0.049210
      672702993.776825     0.047071
      672702994.776779     0.052064
      672702995.776825     0.049924
      672702996.776764     0.049210
      672702997.776840     0.047071
      672702998.776810     0.046357
      672702999.776779     0.049924
      672703000.776733     0.055630
      672703001.776764     0.047071
      672703002.776779     0.052064
      672703003.776794     0.049924
      672703004.776764     0.055630
      672703005.776794     0.053490
      672703006.776749     0.046357
      672703007.776794     0.049924
      672703008.776749     0.049210
      672703009.776794     0.047071
      672703010.776733     0.046357
      672703011.776688     0.056343
      672703012.776672     0.055630
      672703013.776779     0.047071
      672703014.776718     0.046357
      672703015.776688     0.049924
      672703016.776672     0.049210
      672703017.776764     0.053490
      672703018.776749     0.052064
      672703019.776657     0.049924
      672703020.776672     0.055630
      672703021.776733     0.053490
      672703022.776703     0.046357
      672703023.776718     0.049924
      672703024.776672     0.049210
      672703025.776733     0.049924
      672703026.776718     0.054203
      672703027.776718     0.052777
      672703028.776657     0.055630
      672703029.776642     0.053490
      672703030.776642     0.052064
      672703031.776688     0.052064
      672703032.776627     0.055630
      672703033.776688     0.055630
      672703034.776611     0.052064
      672703035.776627     0.052064
      672703036.776672     0.054917
      672703037.776611     0.056343
      672703038.776672     0.054203
      672703039.776611     0.052064
      672703040.776642     0.054203
      672703041.776611     0.056343
      672703042.776627     0.054203
      672703043.776596     0.052064
