       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:45:59.053102Z,      672702357.779449,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.160168,        270.456115,     271.520793,              269.396940,                    268.449408,        3.261484,    0.001421
2020-12-14T21:46:00.053056Z,      672702358.779404,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.160168,        270.456115,     271.520793,              269.396940,                    268.557394,        3.261484,    0.001421
2020-12-14T21:46:01.053071Z,      672702359.779419,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        270.248810,        270.635185,     271.520793,              269.288866,                    268.557394,        3.259602,    0.059910
2020-12-14T21:46:02.052980Z,      672702360.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        270.248810,        270.545650,     271.520793,              269.288866,                    268.557394,        3.259602,    0.062049
2020-12-14T21:46:03.053102Z,      672702361.779449,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        270.248810,        270.635185,     271.520793,              269.396940,                    268.557394,        3.259602,    0.062049
2020-12-14T21:46:04.053041Z,      672702362.779388,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          0,                  0,        270.248810,        270.635185,     271.520793,              269.396940,                    268.449408,        3.259602,    0.066329
2020-12-14T21:46:05.052934Z,      672702363.779282,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.248810,        270.545650,     271.520793,              269.288866,                    268.557394,        3.259602,    0.064903
2020-12-14T21:46:06.053010Z,      672702364.779358,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.248810,        270.545650,     271.520793,              269.288866,                    268.557394,        3.259602,    0.067756
2020-12-14T21:46:07.053010Z,      672702365.779358,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.248810,        270.545650,     271.628907,              269.396940,                    268.557394,        3.259602,    0.067756
2020-12-14T21:46:08.052980Z,      672702366.779327,          0,                   0,                    1,                         1,               2811,                77,                33,               112,                   1,                   1,                  5,          3,                  0,        270.160168,        270.545650,     271.628907,              269.396940,                    268.557394,        3.259602,    0.064903
